job_title,skills,location,years_experience,education_level,expected_salary
Data Scientist,Pandas,Galle,5.5,Bachelor's Degree,138000
DevOps Engineer,"Machine Learning, TensorFlow, Pandas, Azure, Git, Linux",Jaffna,3.6,High School,113000
Data Scientist,"JavaScript, Azure",Remote,5.9,High School,132000
Business Analyst,"TensorFlow, Pandas, Azure, Kubernetes, JavaScript, AWS",Remote,8.6,Bachelor's Degree,154000
Software Engineer,"Pandas, Kubernetes",Galle,3.3,Bachelor's Degree,105000
Business Analyst,"Machine Learning, Git, Kubernetes",Colombo,3.3,Bachelor's Degree,121000
Backend Developer,"React, Tableau, Python, Pandas, AWS",Remote,8.7,Diploma,149000
Fullstack Developer,Azure,Galle,6.3,Master's Degree,150000
Backend Developer,"JavaScript, Pandas, Machine Learning, Python, TensorFlow",Kandy,2.6,Master's Degree,142000
Data Scientist,"Excel, Machine Learning",Jaffna,5.6,Bachelor's Degree,131000
Backend Developer,"Docker, Git",Kandy,2.6,Master's Degree,123000
Data Scientist,"TensorFlow, SQL, Azure, Pandas, JavaScript",Kandy,2.6,Bachelor's Degree,148000
Frontend Developer,"Pandas, Azure, JavaScript, TensorFlow, Docker, Python",Kandy,4.7,Master's Degree,154000
Backend Developer,"React, Machine Learning, JavaScript, Linux",Galle,0.0,Bachelor's Degree,99000
QA Engineer,"Git, TensorFlow, AWS, SQL",Galle,0.0,Diploma,71000
Product Manager,"React, Pandas, Linux, Kubernetes, Tableau",Jaffna,2.3,Bachelor's Degree,142000
DevOps Engineer,"AWS, Machine Learning, Tableau, Python, Excel",Kandy,1.0,Bachelor's Degree,126000
Fullstack Developer,"Machine Learning, Kubernetes, Excel, Linux, AWS",Remote,4.9,Bachelor's Degree,157000
Product Manager,TensorFlow,Colombo,1.3,Master's Degree,175000
Product Manager,"Tableau, TensorFlow, Docker",Colombo,0.0,Bachelor's Degree,150000
DevOps Engineer,"Python, Pandas, Excel, React",Remote,8.4,Master's Degree,198000
Product Manager,Excel,Galle,3.3,Master's Degree,157000
Product Manager,"JavaScript, SQL, Docker, Excel, Azure",Remote,4.2,Master's Degree,208000
Backend Developer,"Python, Machine Learning, Docker, React",Kandy,0.0,Diploma,94000
Data Scientist,Pandas,Jaffna,2.4,Master's Degree,131000
Product Manager,"SQL, TensorFlow",Jaffna,4.3,Master's Degree,154000
DevOps Engineer,"Azure, Excel, Linux",Jaffna,0.5,PhD,131000
Product Manager,"Pandas, JavaScript, Git, React, Kubernetes, Docker",Jaffna,5.1,Master's Degree,191000
QA Engineer,JavaScript,Kandy,2.2,Diploma,76000
Software Engineer,"Azure, JavaScript, Linux, Excel, Python",Colombo,3.1,Master's Degree,168000
Software Engineer,"Machine Learning, Python",Galle,2.2,Diploma,90000
Business Analyst,"TensorFlow, AWS, JavaScript",Remote,9.6,Diploma,126000
QA Engineer,"Tableau, AWS",Jaffna,4.0,Bachelor's Degree,82000
Data Scientist,"Kubernetes, Docker, Git, Tableau, AWS, Python",Colombo,0.8,Diploma,148000
Backend Developer,JavaScript,Kandy,6.5,Bachelor's Degree,126000
QA Engineer,"Kubernetes, SQL",Galle,0.3,Bachelor's Degree,73000
Data Scientist,"Tableau, Excel, Azure, Machine Learning",Colombo,4.6,Master's Degree,205000
Product Manager,Machine Learning,Kandy,0.0,Bachelor's Degree,124000
QA Engineer,"JavaScript, Excel, Kubernetes, Python",Kandy,0.0,Bachelor's Degree,84000
Fullstack Developer,"Git, Tableau, Excel",Jaffna,4.6,Bachelor's Degree,121000
Product Manager,"Pandas, AWS, SQL, JavaScript, React, Git",Colombo,6.2,Bachelor's Degree,225000
Product Manager,Pandas,Galle,4.5,Diploma,129000
QA Engineer,"Git, Excel, Azure, SQL, Python",Remote,3.7,Diploma,98000
DevOps Engineer,Linux,Colombo,3.1,Master's Degree,161000
Business Analyst,"Machine Learning, Linux, JavaScript, Excel",Remote,0.0,High School,84000
Data Scientist,"TensorFlow, Linux, Excel, Azure",Galle,1.8,Master's Degree,149000
Business Analyst,"Pandas, Docker, JavaScript, React, Kubernetes, SQL",Galle,2.6,Bachelor's Degree,110000
Data Scientist,AWS,Remote,7.2,PhD,212000
Data Scientist,Azure,Kandy,5.0,Bachelor's Degree,142000
DevOps Engineer,"Git, Machine Learning, JavaScript",Galle,0.0,Bachelor's Degree,104000
QA Engineer,"Pandas, React, Linux, TensorFlow, Azure",Colombo,5.0,Master's Degree,145000
Product Manager,"Git, TensorFlow, Machine Learning",Kandy,2.8,Bachelor's Degree,148000
Data Scientist,"Azure, SQL, React, Tableau, Linux, JavaScript",Galle,2.0,Bachelor's Degree,143000
Frontend Developer,"AWS, React, Python, Machine Learning, TensorFlow",Jaffna,5.8,Master's Degree,138000
